SecID, Time, Quantity, Price, OrderType, OrderID
AAPL,2020-10-25-02-47-35,102,120.39,BUY,1,
AAPL,2020-10-25-02-12-37,125,120.72,BUY,2,
AAPL,2020-10-25-02-12-25,120,120.32,SELL,3,
AAPL,2020-10-25-02-24-04,139,120.4,SELL,4,
AAPL,2020-10-25-02-33-14,129,120.28,BUY,5,
AAPL,2020-10-25-02-21-52,120,120.47,SELL,6,
AAPL,2020-10-25-02-43-22,89,119.83,SELL,7,
AAPL,2020-10-25-02-36-10,140,121,SELL,8,
AAPL,2020-10-25-02-30-57,153,120.49,SELL,9,
AAPL,2020-10-25-02-30-27,157,120.83,SELL,10,
AAPL,2020-10-25-02-31-53,94,120.08,BUY,11,
AAPL,2020-10-25-02-44-26,202,120.46,BUY,12,
AAPL,2020-10-25-02-28-26,96,120.31,BUY,13,
AAPL,2020-10-25-02-24-18,42,120.68,BUY,14,
AAPL,2020-10-25-02-43-56,106,120.73,BUY,15,
AAPL,2020-10-25-02-22-02,64,120.67,BUY,16,
AAPL,2020-10-25-02-21-33,94,120.35,BUY,17,
AAPL,2020-10-25-02-47-57,90,120.63,SELL,18,
AAPL,2020-10-25-02-33-26,58,120.22,BUY,19,
AAPL,2020-10-25-02-23-09,140,120.59,SELL,20,
AAPL,2020-10-25-02-25-02,127,121.14,BUY,21,
AAPL,2020-10-25-02-17-42,36,120.36,SELL,22,
AAPL,2020-10-25-02-45-09,74,120.07,SELL,23,
AAPL,2020-10-25-02-47-30,125,120.81,BUY,24,
AAPL,2020-10-25-02-29-51,152,120.6,SELL,25,
AAPL,2020-10-25-02-28-20,88,120.81,SELL,26,
AAPL,2020-10-25-02-22-41,122,120.58,BUY,27,
AAPL,2020-10-25-02-28-46,98,120.48,SELL,28,
AAPL,2020-10-25-02-13-18,125,121.07,SELL,29,
AAPL,2020-10-25-02-16-05,197,120.77,BUY,30,
AAPL,2020-10-25-02-41-16,129,119.85,BUY,31,
AAPL,2020-10-25-02-39-07,148,120.64,SELL,32,
AAPL,2020-10-25-02-52-59,94,119.96,BUY,33,
AAPL,2020-10-25-02-29-04,98,120.17,SELL,34,
AAPL,2020-10-25-02-32-34,120,120.57,BUY,35,
AAPL,2020-10-25-02-35-01,200,120.48,SELL,36,
AAPL,2020-10-25-02-52-06,197,120.59,BUY,37,
AAPL,2020-10-25-02-27-51,67,120.21,BUY,38,
AAPL,2020-10-25-02-53-33,114,120.29,BUY,39,
AAPL,2020-10-25-02-46-41,133,120.32,SELL,40,
AAPL,2020-10-25-02-30-32,101,120.46,BUY,41,
AAPL,2020-10-25-02-28-10,106,120.1,BUY,42,
AAPL,2020-10-25-02-21-51,141,120.15,SELL,43,
AAPL,2020-10-25-02-17-57,89,120.21,BUY,44,
AAPL,2020-10-25-02-13-57,161,120.69,BUY,45,
AAPL,2020-10-25-02-40-20,94,120.79,SELL,46,
AAPL,2020-10-25-02-38-25,163,120.44,BUY,47,
AAPL,2020-10-25-02-28-10,113,121.39,BUY,48,
AAPL,2020-10-25-02-39-28,123,121.07,BUY,49,
AAPL,2020-10-25-02-23-21,92,120.34,SELL,50,
AAPL,2020-10-25-02-34-04,125,120.72,BUY,51,
AAPL,2020-10-25-02-50-56,59,120.56,SELL,52,
AAPL,2020-10-25-02-37-00,194,120.19,SELL,53,
AAPL,2020-10-25-02-41-11,183,120.42,BUY,54,
AAPL,2020-10-25-02-46-46,141,120.53,BUY,55,
AAPL,2020-10-25-02-44-53,168,120.39,BUY,56,
AAPL,2020-10-25-02-43-00,78,120.74,BUY,57,
AAPL,2020-10-25-02-36-40,111,119.92,BUY,58,
AAPL,2020-10-25-02-38-29,131,119.83,BUY,59,
AAPL,2020-10-25-02-29-47,140,120.88,SELL,60,
AAPL,2020-10-25-02-13-40,225,120.45,SELL,61,
AAPL,2020-10-25-02-30-04,96,120.36,BUY,62,
AAPL,2020-10-25-02-34-31,124,120.52,SELL,63,
AAPL,2020-10-25-02-34-24,112,120.62,SELL,64,
AAPL,2020-10-25-02-32-41,160,120.65,SELL,65,
AAPL,2020-10-25-02-49-06,71,120.3,SELL,66,
AAPL,2020-10-25-02-45-14,162,120.12,SELL,67,
AAPL,2020-10-25-02-25-35,125,120.7,SELL,68,
AAPL,2020-10-25-02-23-51,107,120.4,SELL,69,
AAPL,2020-10-25-02-58-34,112,120.42,SELL,70,
AAPL,2020-10-25-02-34-04,51,120.54,SELL,71,
AAPL,2020-10-25-02-19-24,97,119.91,BUY,72,
AAPL,2020-10-25-02-31-15,144,120.68,SELL,73,
AAPL,2020-10-25-02-24-53,160,120.69,BUY,74,
AAPL,2020-10-25-02-22-33,99,120.31,SELL,75,
AAPL,2020-10-25-03-03-12,75,120.89,SELL,76,
AAPL,2020-10-25-02-30-56,107,120.78,SELL,77,
AAPL,2020-10-25-02-24-37,46,120.86,BUY,78,
AAPL,2020-10-25-02-44-16,104,120.3,BUY,79,
AAPL,2020-10-25-02-32-44,116,120.6,SELL,80,
AAPL,2020-10-25-02-33-23,104,120.39,BUY,81,
